covariate,HR,transition,model,L,U
Para - Story,1.0876970861893989,parent_ed_highestPrimary,M4,NA,NA
Beginner - Letter,0.920550016179307,parent_ed_highestSecondary+,M4,NA,NA
Beginner - Word,34.472205709244584,parent_ed_highestSecondary+,M4,NA,NA
Letter - Beginner,3.1894589207684887,parent_ed_highestSecondary+,M4,NA,NA
Letter - Word,0.9287324759921699,parent_ed_highestSecondary+,M4,NA,NA
Letter - Para,1.7890420484293839,parent_ed_highestSecondary+,M4,NA,NA
Word - Letter,0.6143773242407073,parent_ed_highestSecondary+,M4,NA,NA
Word - Para,1.2170154184309068,parent_ed_highestSecondary+,M4,NA,NA
Word - Story,0.030239335067519663,parent_ed_highestSecondary+,M4,NA,NA
Para - Word,0.7590693289652845,parent_ed_highestSecondary+,M4,NA,NA
Para - Story,0.7971555619271907,parent_ed_highestSecondary+,M4,NA,NA
